file_id,type,point_count_2m_radius,mean_intensity,median_intensity,std_intensity,min_intensity,max_intensity
10000151,clean,1304,0.015085,0.003922,0.031236,0.000000,0.227451
10000152,clean,1327,0.014519,0.003922,0.030036,0.000000,0.219608
10000153,clean,1284,0.014697,0.003922,0.030489,0.000000,0.215686
10000154,clean,1296,0.015217,0.003922,0.031394,0.000000,0.215686
10000155,clean,1308,0.016229,0.003922,0.034845,0.000000,0.227451
10000156,clean,1351,0.015736,0.003922,0.034994,0.000000,0.235294
10000157,clean,1289,0.015723,0.003922,0.035895,0.000000,0.231373
10000158,clean,1322,0.014595,0.003922,0.031238,0.000000,0.227451
10000159,clean,1298,0.013710,0.003922,0.028800,0.000000,0.215686
10000160,clean,1283,0.013996,0.003922,0.029384,0.000000,0.211765
